acceptable,(adj.10),可以接受的;令人滿意的
accurate,(adj.8),準確的
actual,(adj.6),實際的;事實上的
additional,(adj.10),附加的;額外的
advanced,(adj.8),先進的;高等的
apparent,(adj.8),"明顯的,顯而易見的"
arithmetic,(adj.10),算術的
attractive,(adj.10),有吸引力的;引人注目的
automatic,(adj.9),"自動的,習慣性的"
available,(adj.9),"可用的,可得到的,有效的"
average,(adj.7),平均的
awake,(adj.5),醒著的
aware,(adj.5),"知道的,察覺的"
awful,(adj.5),可怕的
bare,(adj.4),裸的;僅僅的
bold,(adj.4),無畏的;大膽的
brass,(adj.5),"黃銅製的,黃銅色的"
brilliant,(adj.9),明亮的;才華橫溢的;傑出的
capable,(adj.7),有...的能力
capital,(adj.7),可處死刑的
casual,(adj.6),非正式的;隨便的
ceramic,(adj.7),陶器的;製陶藝術的
changeable,(adj.10),易變的;不定的
cheerful,(adj.8),使人感到愉快的
cherry,(adj.6),櫻桃口味的;;鮮紅色的
chill,(adj.5),涼颼颼的
chilly,(adj.6),冷颼颼的
civil,(adj.5),"市民的,國民的"
classical,(adj.9),古典的
commercial,(adj.10),商業的;商務的
complex,(adj.7),複雜的
confident,(adj.9),有信心的
conscious,(adj.9),"神志清醒的,有知覺的"
considerable,(adj.12),相當大的;相當多的
constant,(adj.8),"固定的,不變的"
countable,(adj.9),可計算的;可數的
creative,(adj.8),有創造力(或想像力)的
criminal,(adj.8),"犯罪的,犯法的"
crisp,(adj.5),"脆的,酥的,鬆脆的"
crispy,(adj.6),酥脆的;清脆的
crunchy,(adj.7),發嘎吱嘎吱聲的;易碎的
cultural,(adj.8),教養的;人文的
current,(adj.7),現行的
darling,(adj.7),"親愛的,心愛的;寵愛的"
democratic,(adj.10),有民主精神的
desirable,(adj.9),值得嚮往的;富有魅力的
diligent,(adj.8),勤勉的
dim,(adj.3),微暗的;暗淡的
domestic,(adj.8),國內的
doubtful,(adj.8),懷疑的
dramatic,(adj.8),戲劇性的;引人注目的
drowsy,(adj.6),昏昏欲睡的
drunk,(adj.5),"喝醉(酒)的;陶醉的,興奮的"
due,(adj.3),應支付的;欠款的
eager,(adj.5),"渴望的,急切的"
educational,(adj.11),教育的
efficient,(adj.9),效率高的;有能力的
elderly,(adj.7),年長的;上了年紀的
electric,(adj.8),電的
electrical,(adj.10),電的
electronic,(adj.10),電子的
empty,(adj.5),空的
energetic,(adj.9),精力充沛的
enjoyable,(adj.9),快樂的;有樂趣的
environmental,(adj.13),環境的;有關環境(保護)的
evil,(adj.4),邪惡的
expressive,(adj.10),表達的;表情豐富的
extreme,(adj.7),"極端的,極度的"
faint,(adj.5),頭暈的;暗淡的
fairy,(adj.5),小妖精(似)的;優雅的
fake,(adj.4),假的;冒充的
familiar,(adj.8),熟悉的;常見的
fancy,(adj.5),花俏的;特級的
farther,(adj.7),"far的比較級; 更遠的,再往前的"
fashionable,(adj.11),時尚的
fond,(adj.4),喜歡的;愛好的
frequent,(adj.8),頻繁的;屢次的
global,(adj.6),全世界的
gradual,(adj.7),"逐漸的,逐步的"
handy,(adj.5),便利的;靈活的;易於操作的
harmful,(adj.7),有害的
hasty,(adj.5),"倉促的,輕率的"
historic,(adj.8),歷史上著名的
historical,(adj.10),"歷史的,史學的"
hollow,(adj.6),空的;凹陷的
holy,(adj.4),神聖的
horrible,(adj.8),可怕的
hourly,(adj.6),以鐘點計算的
humorous,(adj.8),幽默的
icy,(adj.3),冰冷的
ideal,(adj.5),"理想的,完美的"
immediate,(adj.9),即刻的
impressive,(adj.10),予人深刻印象的
individual,(adj.10),個別的
indoor,(adj.6),"室內的,戶內的"
industrial,(adj.10),"工業的,產業的"
inferior,(adj.8),低等的;下級的
inner,(adj.5),內部的
innocent,(adj.8),"無罪的,清白的"
internal,(adj.8),內部的
ivory,(adj.5),乳白色的
jealous,(adj.7),嫉妒的
joyful,(adj.6),"高興的,充滿喜悅的"
latter,(adj.6),後者
liberal,(adj.7),自由主義的
lively,(adj.6),精力充沛的;活潑的
loose,(adj.5),鬆的
magical,(adj.7),"魔術的,魔法的"
major,(adj.5),較多的;主要的
manageable,(adj.10),可控制的
marvelous,(adj.9),了不起的
mathematical,(adj.12),數學的
mature,(adj.6),成熟的;到期的
meaningful,(adj.10),意味深長的;有意義的
medical,(adj.7),醫學的;醫術的;醫療的
mental,(adj.6),"精神的,心理的"
merry,(adj.5),"愉快的,興高采烈的"
mighty,(adj.6),強大的;強有力的
minor,(adj.5),較小的;較次要的
missing,(adj.7),缺掉的;失蹤的;找不到的
mobile,(adj.6),移動式的;流動的
moist,(adj.5),"潮濕的,微濕的"
moral,(adj.5),道德(上)的
musical,(adj.7),音樂的
native,(adj.6),"本土的,本國的"
nervous,(adj.7),緊張的
noble,(adj.5),崇高的;宏偉的
normal,(adj.6),"正常的,正規的"
obvious,(adj.7),明顯的;顯著的
odd,(adj.3),"奇特的,古怪的;單數的"
opposite,(adj.8),"相反的,對立的"
optimistic,(adj.10),樂觀的
original,(adj.8),"最初的,本來的;原始的"
outdoor,(adj.7),"戶外的,露天的,野外的"
outer,(adj.5),"外面的,外表的"
pale,(adj.4),蒼白的;黯淡的
plastic,(adj.7),"可塑的,塑性的;整形的"
political,(adj.9),政治的;政治上的
pop,(adj.3),"通俗的,流行的"
practical,(adj.9),實用的
precious,(adj.8),寶貴的
previous,(adj.8),"先的,以前的"
primary,(adj.7),主要的;初級的
